Cod Art,Cod Unico Art,Desc Art,Desc Marca Art,Desc Familia Art,Cod Barra Art
82143,R-00081174-G,ASP CR835 1800W AZ -C,RENACER,ASPIRADORAS,
82138,R-00082138-G,ASP-VCBD807 2000W S/BOL M,BLACK & DECKER,ASPIRADORAS,050875807334;00508
82137,R-00082137-G,ASP-VCBD805 1800W S/BOL M,BLACK & DECKER,ASPIRADORAS,050875807303;00508
82136,R-00082136-G,ASP-VCBD601 1400W C/BOL M,BLACK & DECKER,ASPIRADORAS,050875807242;00508
82099,R-00082099-G,ANAFE    DK 2KL IX,ARISTON,ANAFE,8007842782103
82098,R-00082098-G,ANAFE    DK 2K IX,ARISTON,ANAFE,8007842782035
82097,R-00082097-G,ANAFE    DK 02 IX AG,ARISTON,ANAFE,8007842782097
82090,R-00082090-G,ASP-LIT 11 1600W MOD,ELECTROLUX,ASPIRADORAS,
82088,R-00082088-G,ZTE N721 LIBRE,ZTE,CELULARES LIBRES,7796886050903;7796
82086,R-00082086-G,ASP LIS 11 1300WMOD,ELECTROLUX,ASPIRADORAS,2946140064848;
82085,R-00082085-G,CAF-EXP PV2305 MELODY3 MO,MOULINEX,CAFETERAS (EXPRESS),3016661141942;
82081,R-00082081-G,ANAFE   AEX4 ELECT,DOMEC,ANAFE,7796933538866
82080,R-00082080-G,MOD C.DIG SX160,CANON,CAMARAS DIGITALES,8714574586373;4960
82072,R-00082072-G,ANAFE   CTGGE06054A0GM,MABE,ANAFE,7797102000429;
82068,R-00078861-G,C.DIG SP-820UZ BCK IPOINT,OLYMPUS,CAMARAS DIG IPOINT,
82066,R-00078860-G,C.DIG SP-620UZ SIL IPOINT,OLYMPUS,CAMARAS DIG IPOINT,
82061,R-00078862-G,C.DIG SP-810UZ BCK IPOINT,OLYMPUS,CAMARAS DIG IPOINT,
82032,R-00081959-G,PER LG L5 2 NEGRO A300,LG,CELULARES LIBRES,
82019,R-00082019-G,AURICULAR AU-012 BLANCO I,BLUMENT,AURICULARES,2946140048947
82018,R-00082018-G,AURICULAR AU-012 NEGRO I,BLUMENT,AURICULARES,7798135216320
81977,R-00081977-G,ZTE R3000 NEG + AUR LIBRE,ZTE,CELULARES LIBRES,7796886053775;
81976,R-00081976-G,HUAWEI Y200 U8655 NEG LIB,HUAWEI,CELULARES LIBRES,7796886051054
81975,R-00079656-G,USB HEADSET H340 (I),LOGITECH,AURICULARES GAMING,097855089588
81959,R-00081959-G,PER LG E451 L5 2 NEG,LG,CELULARES LIBRES,2946140140122
81954,R-00081954-G,CAF EXP BVSTEM6601 WHITE,OSTER,CAFETERAS (EXPRESS),034264453876;
81932,R-00081932-G,MOD NOBLEX NXC-799,NOBLEX,AUTOSTEREO (C/RADIO),7796962127994;
81931,R-00081931-G,AUTOESTER NXR-399 MOD,NOBLEX,AUTOSTEREO (C/RADIO),7796962113997;
81921,R-00081921-G,SONY XPERIA L BCO LIB,SONY,CELULARES LIBRES,7311271421009;
81920,R-00081920-G,SONY XPERIA L NEG LIB,SONY,CELULARES LIBRES,7311271420996;2946
81918,R-00081918-G,SONY XPERIA ZL BCO LIB,SONY,CELULARES LIBRES,7311271422655;
81912,R-00081912-G,AA.S    6200WFC DWT2-6200,DAEWOO,ACOND.SPLIT,7798169440180;7798
81910,R-00081910-G,AA.S 5000WFC DWT2-5000MOD,DAEWOO,ACOND.SPLIT,7798169440159
81907,R-00081907-G,AA.S    3200WFC DWT2-3200,DAEWOO,ACOND.SPLIT,7798169440135
81906,R-00081906-G,BAT-PIE BP8743E MOD,ATMA,BATIDORAS (CON PIE),7796962807438;
81905,R-00081905-G,AA.S    3200WFS DWT2-3200,DAEWOO,ACOND.SPLIT,7798169440111
81904,R-00081904-G,AA.S    2500WFC DWT2-2500,DAEWOO,ACOND.SPLIT,7798169440098
81903,R-00078141-G,BAT PIE BP8752E 700MOD,ATMA,BATIDORAS (CON PIE),
81902,R-00075838-G,ASP-8911E 1700W MOD,ATMA,ASPIRADORAS,
81901,R-00081901-G,AA.S    2500WFS DWT2-2500,DAEWOO,ACOND.SPLIT,7798169440081
81900,R-00075837-G,ASP-AS8901E 1600W MOD,ATMA,ASPIRADORAS,
81896,R-00081896-G,XXXXXXXXXXXXXXXXXXXXXXXXX,SONYERICSSON,CELULARES LIBRES,
81895,R-00081895-G,XXXXXXXXXXXXXXXXXXXXXXXXX,SONYERICSSON,CELULARES LIBRES,
81893,R-00081893-G,XXXXXXXXXXXXXXXXXXXXXXXXX,SONYERICSSON,CELULARES LIBRES,
81891,R-00081891-G,ANAFE-  AXV4 INOX MOD,DOMEC,ANAFE,7796933631086;
81889,R-00081889-G,SAM S3 MI I8190 BCO TC,SAMSUNG,CELULARES LIBRES,8806085719262
81886,R-00081886-G,CAF EXP C520-AR-TI-NE,NESPRESSO,CAFETERAS (EXPRESS),7640148347082;
81885,R-00081885-G,SONY XPERIA ZL NEG LIB,SONY,CELULARES LIBRES,7311271410201;
81880,R-00081880-G,SAMS GALAX FAM S6810 BCO,SAMSUNG,CELULARES LIBRES,8806085499751
81878,R-00081878-G,SAMS GALAX GRAND I9080 BL,SAMSUNG,CELULARES LIBRES,8806085563346
81874,Sin Codigo Unico,C.DIG J1458W SILVER TDF,GENERAL ELECTRIC,CAMARAS DIGITALES,
81873,R-00081873-G,NOKIA LUMIA 920 NEG LIBRE,NOKIA,CELULARES LIBRES,6438158546745;
81871,R-00081871-G,SAMS GALAX GRAND I9080 AZ,SAMSUNG,CELULARES LIBRES,8806085603356
81809,R-00044632-C,AUR C/MIC SHM3560/10,PHILIPS,AURICULARES,
81805,R-00081805-G,PHIL W6360 GRI LIBRE,PHILIPS,CELULARES LIBRES,7798173880095;
81803,R-00081803-G,PHIL W5510 GRI LIBRE,PHILIPS,CELULARES LIBRES,7798173880088;
81799,R-00081799-G,NOKIA LUMIA 920 AMA LIBRE,NOKIA,CELULARES LIBRES,6438158572614;
81798,R-00046956-C,NOKIA LUMIA 920 BCO LIBRE,NOKIA,CELULARES LIBRES,
81797,R-00081797-G,NOKIA ASHA 201 ROS LIBRE,NOKIA,CELULARES LIBRES,6438158573949
81791,R-00081751-G,ESPUMERO CA6500/18 -C,PHILIPS,BAT. DE COCINA,
81790,R-00081750-G,CAF ELEC TWISTHD7870/18-C,PHILIPS,CAFETERAS (ELECTRIC),
81785,R-00080666-G,MOD C.DIG ROAM 2 BLK,CONTOUR,CAMARAS DIGITALES,2946140039297
81776,R-00081776-G,ANAFE   AXCL INOX,DOMEC,ANAFE,7796933631024;
81775,R-00081775-G,BAL-BANO EKS 8873 SV MOD,ASPEN,BALANZAS (P/BAÑO),7790808034453;
81774,R-00081774-G,ANAFE   AEX2 ELECT,DOMEC,ANAFE,7796933538859;
81773,R-00081773-G,BAL COC KCI,ASPEN,BALANZAS (P/COCINA),7790808034170
81771,R-00081771-G,ANAFE   A2XQ INOX,DOMEC,ANAFE,7796934631115;
81769,R-00081769-G,ANAFE   AXF4 INOX,DOMEC,ANAFE,7796933631093;
81768,R-00081768-G,ANAFE   AX4 INOX,DOMEC,ANAFE,7796933631055;
81762,R-00052595-G,ASP-AS4207 1400W MOD,ULTRACOMB,ASPIRADORAS,
81761,R-00051942-G,ASP MANUAL SLIM-P MANMOD,ELECTROLUX,ASPIRADORAS,
81760,R-00081760-G,ASP-TIT 11 2000W S/BOL MO,ELECTROLUX,ASPIRADORAS,2946140064855;
81759,R-00081759-G,BAT-PIE HR1564/06 300W MO,PHILIPS,BATIDORAS (CON PIE),7790807031835;
81758,R-00081758-G,BAT-MAN HR1562/06 300W MO,PHILIPS,BATIDORAS (MANUAL),8710103600084;
81753,R-00081753-G,ESPUMERO HD7019/18MOD,SAECO,BAT. DE COCINA,8710103636601;
81752,R-00081752-G,ACC-P/HORNEARHD9925MOD,PHILIPS,BAT. DE COCINA,
81751,R-00081751-G,ESPUMERO CA6500/18 MOD,PHILIPS,BAT. DE COCINA,8710103618652;
81750,R-00081750-G,CAF-ELEC TWIST HD7870/18M,PHILIPS,CAFETERAS (ELECTRIC),8710103618676
81735,R-00081735-G,BLACKB 9320 BCO LIB,BLACKBERRY,CELULARES LIBRES,802975665341;
81661,R-00081661-G,NOKIA ASHA 201 BCO LIBRE,NOKIA,CELULARES LIBRES,6438158573925;
81627,R-00081057-G,CAF EXP PV1000AR+TAZA -C,MOULINEX,CAFETERAS (EXPRESS),
81623,R-00081623-G,ANAFE   A15601X,LONGVIE,ANAFE,7797075014379;
81622,R-00081622-G,ANAFE   A6600B,LONGVIE,ANAFE,7797075014348;
81620,R-00081620-G,ANAFE   A2600X,LONGVIE,ANAFE,7797075002925;
81619,R-00081619-G,ANAFE   A6600RX,LONGVIE,ANAFE,7797075012245;
81618,R-00081618-G,ANAFE   A6600X,LONGVIE,ANAFE,7797075012061;
81611,R-00081611-G,MOTO D1 XT915 BCO LIBRE,MOTOROLA,CELULARES LIBRES,7790894000547
81594,R-00079314-G,NOKIA 111 NEG LIB COMBO,NOKIA,CELULARES LIBRES,
81558,R-00080133-G,USB POWER CHARGER,SHARKIE,CARGADORES CELULARES,045635732209
81557,R-00081557-G,MOTO RAZR I XT890 BCO LIB,MOTOROLA,CELULARES LIBRES,7790894000608;
81551,R-00079013-G,PROMO AUR AU-001 CD-890 I,BLUMENT,AURICULARES,
81547,R-00081547-G,PCD 2573 TV DIGITAL LIBRE,PCD,CELULARES LIBRES,7798173880064;
81499,R-00079143-G,ASP CFS7164 1600W -C,CANDY,ASPIRADORAS,
81495,R-00081475-G,HEADSET HS33 GS4,SAMSUNG,AURICULARES,8806085524217
81478,R-00081478-G,WIRELESS CHARGING KIT SIV,SAMSUNG,CARGADOR,8806085569485;
